Summary,Description,Custom field (Epic Link),Component/s,Component/s
Oppgradere til Flyway 5,"Mellomsteg i oppdatering, kreves for å kunne gå opp på Flyway 6 som er versjonen som Quarkus bruker.

Må gjøres etter at Flyway 4 (NVDB-5866) er i prod.",NVDB-6937,Datafangst,
Oppgradere Flyway til versjon 4,"Flyway kan bare oppdateres én major-versjon om gangen, detter er første steg for å komme à jour.",NVDB-6937,Datafangst,
Logging av Exceptions i IntelliJ,"Logging lokalt i console i IntelliJ er litt håpløst.

Fiks slik at det logges feilmelding (log ERROR ikke WARN i Exceptionmapper)
Slutt å log request payloads i console",NVDB-6937,Datafangst,
Mangler filtrering på kryss og sideanlegg ved vegsystemreferansesøk i /veg,"https://nvdbapiles-v3.atlas.vegvesen.no/veg\?vegsystemreferanse\=Fv704S1D1m0 gir vekslende svar. 
Det er fordi det er kryss og sideanlegg der, vi må legge på ekskludering av kryss og sideanlegg når det ikke inngår i vegsystemreferansen.",NVDB-6937,Les-API,
Endepunkt for etablering av OIDC-token,"For å forenkle livet til NVDB API Skriv sine klienter ved overgang til Atlas, skal det utvikles endepunkter for å:

- etablere OIDC-tokens (idToken + refreshToken)
- refreshe et idToken

Inspirasjon kan hentes fra AuthResource i NVDB API Les.",NVDB-6937,Skriv-API,
Omruting til OIDC pålogging i Kontrollpanel og Generator,"SSO fungerer ikke med OpenIdConnect-baserte applikasjoner og de må derfor selv rute om til påloggingssiden for å få etablert et JWT-token. Generator og Kontrollpanel må utvides med denne omrutingen i den versjonen av NVDB API Skriv som kjører på Atlas.

Atlas-gjengen har ferdiglaget JavaScript som kan brukes til dette formålet.

Se også:

https://github.com/nvdb-vegdata/nvdb-admin/tree/master/src/main/webapp/browser/svv-login-page
https://github.com/nvdb-vegdata/nvdb-admin/blob/master/src/main/webapp/browser/app.jsx
https://www.npmjs.com/package/oidc-client
https://git.vegvesen.no/projects/NVDBDATA/repos/atlas-config/browse/nvdbapil/utvikling-v3/services.json#12",NVDB-6937,Skriv-API,
Stedfesting gir like start og sluttpunkt,"h2. Observasjon

Fra support. Stedfest vedlagte SOSI automatisk. Deretter stedfest KURVE 2 til RA9 (veien ligger rett ved). Da blir stedfestingen delt i to hvor hver bit har lik start og slutt. Gjenskapt på df-utv.

[https://datafangst.kantega.no/#!/contract/81f608cd-c711-46f0-9923-df63846a1ea7/locational2]

[https://vegdata.kantega.no/kibana/app/kibana#/doc/datafangst-logs-*/datafangst-logs-beats-6.8.12-2020.09.02/doc/?id=r4XvTXQBsUoQFJJym18g]

Fra Prod: select * from feature_locational2 where feature_id='5af85066-4058-4a5c-82c6-96bbcb2245f3';

Se forøvrig KURVE 1 og KURVE 3 hvor KURVE 2 burde fått posisjon mellom disse. Ta også en titt på [https://nvdb-vegdata.github.io/nvdb-visrute/PROD/] som viser hvilken rute Les ville valgt, hvor den inkluderer delene mellom KURVE 1 og KURVE 3 (bruk startposisjon ""66235.3397186895,6598615.837483798"" og sluttposisjon ""66652.66353714647,6597105.584636308"" med vegsystemreferanse ""RA"". Da får du lenker som 

[https://nvdbapiles-v3.atlas.vegvesen.no/beta/vegnett/rute?start=66235.3397186895,6598615.837483798&slutt=66652.66353714647,6597105.584636308&maks_avstand=100&omkrets=100&konnekteringslenker=true&detaljerte_lenker=true&vegsystemreferanse=RA&pretty=true&kortform=true]

Dvs at stedfesting skulle vært noe a la 

0.0-003@3103849

0.0-1.0@3103848

0.999-1.0@3103847",NVDB-6937,Datafangst,
"Meir informasjon i ""Velkommen til Datafangst!""-mailen.","[~hans.alien@vegvesen.no] foreslår å legge til meir informasjon i ""Velkommen""-mailen som nye brukarar i DF får:

Jeg foreslår at invitasjonseposten utvides til å inneholde navn og kontaktinfo på forvalteren som inviterer, samt muligens tips om å kontakte vedkommende dersom fristen er passert.
----
Etter litt diskusjon tror vi at det som Hans Anton egentlig vil oppnå er at brukere som blir invitert inn på kontrakt vet hva de skal gjøre når de 7 dagene som lenke for registrering har gått ut.

En god måte å oppnå det på er å vise til veiviseren for innloggingsproblemer ([https://datafangst.kantega.no/noauth/#!/user/login-help)] nederst i malen for mail som sendes når ny bruker er gitt tilgang på kontrakt.

I første omgang trenger vi ikke å ha med navn og kontaktinfo for forvalter, dette var basert på en feilaktig antakelse om at forvalter kunne løse dette ved å legge til deltaker på kontrakten på nytt.",NVDB-6937,Datafangst,
"Autentisering med AAA-tjenesten, avvikle OpenAM","OpenAM fases ut.
Datafangst må ta i bruk AAA-tjenesten.

OpenAM er på veg ut, så DF bør snarest omprogrammeres til å autentisere via AAA-tjenesten. Dette er en fasade-tjeneste som dekobler klienter fra underliggende IAM-teknologi og gjør derfor livet enklere for alle parter.

https://apiskriv.vegdata.no/autentisering",NVDB-6937,Datafangst,
Rettigheter blir ikke satt riktig for brukere,"h2. Observasjon

Fra support. En bruker ""ERLSON"" var lagt til som kontraktsgruppeforvalter på gruppe ""TOG BjB40"". Denne fikk ikke de rettighetene denne skulle ha. Etter at han ble lagt inn som ""erlson"" fikk han de rettighetene han skulle ha. Se vedlegg som viser rettigheter for ""eivgil"" på samme gruppe.

select * from user_role where username in ('eivgil', 'EIVGIL');

For å se om jeg fikk gjenskapt fjernet jeg ""rikrye"" fra ""TEST"" i df-utv og la henne inn som ""RIKRYE"". Da kommer på spørringen over innslag for ""rikrye"" og ""RIKRYE"". Dette observerte jeg imidlertid ikke i Prod da caps-lock bruker ikke var med overhodet. Men det bør sees på hva som skjer når man legger inn bruker med små vs store boksatver.

h2. Forslag til løsning
Brukernavn konverteres til små bokstaver før det lagres i database.",NVDB-6937,Datafangst,
Sjekk at transaksjon under behandling blir tatt ved oppstart,"Vi trenger sjekke at transaksjonen som er under behandling ved restart av NVDBIND blir tatt opp på nytt når applikasjonen starter igjen. 

Transaksjon 4923822 2020-08-31 14:35:06 ble avbrutt, og en annen transaksjon var første som ble behandlet etter oppstart.


*Analyse*
I dette tilfellet er det flere ting som tilsammen gjør at dette skjedde. Transaksjoner blir lest inn i batcher til IND, og de blir sortert på tid fra transaksjonsid-en før de legges i kø for prosessering. Det er noe tidsforsinkelse på tidspunkt i transaksjonsid og når transkasjonen er skrevet til NVDB. Dette har gjort at den ikke ble lest og sortert riktig av IND, den har sansyligvis kommet i neste batch og blitt sortert sammen med transaksjonene der.

Når en transaksjon er ferdig behandlet i IND blir syncInfo-fila oppdatert med tidspunktet til den aktuelle transaksjonen.
I dette tilfellet ble en transaksjon med senere tidspunkt prosessert først slik at syncInfo hadde tidspunkt som var senere og derfor ble ikke den aktuelle transaksjonen plukket opp igjen ved start.

Det er også en mekanisme i IND som gjør at IND sjekker 10 minutter (konfigurerbart) tilbake i tid ved oppstart igjen. Da er det 10 minutter fra sist sjekket tidspunkt. I tilfellet her lå vi noen timer bak, så derfor ble ikke transaksjonen fanget opp av denne mekanismen.

Behandling i skriv, https://www.vegvesen.no/nvdb/apiskriv/kontrollpanel/#/jobs/view/e69edce1-4d9b-4760-a9cd-01acbd94b9fb, ser at ""4923822 2020-08-31 14:35:06"" ble skrevet ca 30 sekunder etter, ""2020-08-31 14:35:36.742	STORED_IN_NVDB""


*Løsning*
Gjør ikke noe med dette nå, men det vil bli løst av https://jira.kantega.no/browse/NVDB-4181 der køa skrives til disk. Da mister man ikke transaksjoner som allerede er lagt til køa ved omstart.",NVDB-6937,NVDB-IND,
Statistikkspørringer med område feiler,"På grunn av endringer i dokumentene i NVDB-5738 feiler statistikkspørringer.
Apiet:
{quote}
2020-09-01T13:59:47,798+0200 TRANSID=""b906016b-2c43-6ed1-96f8-188a0466ae85"" SEVERITY=""ERROR"" ORIGIN=""GenericExceptionMapper"" MESSAGE=""Unexpected exception encountered for URL: http://nvdbapiles-v3.atlas.vegvesen.no/vegobjekter/902/statistikk?kartutsnitt=-93364.246%2C7289338.623%2C1640612.555%2C8165809.709&vegsystemreferanse=P&segmentering=true""
no.vegvesen.nvdbapi.common.exceptions.SolrCommunicationException: HTTP[500] Error[Code=(5001) Message=(No live SolrServers available to handle this request:[http://svvpnvdbsolr12.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr11.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr14.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr07.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr13.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr08.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr09.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr15.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr06.vegvesen.no:8983/solr/nvdb-roadobjects])] 
	at no.vegvesen.nvdbapi.common.solr.SolrClientWrapperImpl.translate(SolrClientWrapperImpl.java:124)
	at no.vegvesen.nvdbapi.common.solr.SolrClientWrapperImpl.query(SolrClientWrapperImpl.java:66)
	at no.vegvesen.nvdbapi.common.solr.SolrBulkHead.lambda$query$0(SolrBulkHead.java:37)
	at io.github.resilience4j.bulkhead.Bulkhead.lambda$decorateCallable$4(Bulkhead.java:177)
	at io.github.resilience4j.bulkhead.Bulkhead.executeCallable(Bulkhead.java:525)
	at no.vegvesen.nvdbapi.common.solr.SolrBulkHead.tryQuery(SolrBulkHead.java:48)
	at no.vegvesen.nvdbapi.common.solr.SolrBulkHead.query(SolrBulkHead.java:37)
	at no.vegvesen.nvdbapi.data.service.roadobject.RoadObjectService.getStats(RoadObjectService.java:153)
	at no.vegvesen.nvdbapi.v3.web.resources.RoadObjectResource.lambda$getStats$2(RoadObjectResource.java:178)
	at no.vegvesen.nvdb.shared.StreamingOutputWrapper.write(StreamingOutputWrapper.java:52)
	...
	at java.lang.Thread.run(Thread.java:748)
Caused by: org.apache.solr.client.solrj.SolrServerException: No live SolrServers available to handle this request:[http://svvpnvdbsolr12.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr11.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr14.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr07.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr13.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr08.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr09.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr15.vegvesen.no:8983/solr/nvdb-roadobjects, http://svvpnvdbsolr06.vegvesen.no:8983/solr/nvdb-roadobjects]
	at org.apache.solr.client.solrj.impl.LBSolrClient.request(LBSolrClient.java:345)
	at org.apache.solr.client.solrj.impl.BaseCloudSolrClient.sendRequest(BaseCloudSolrClient.java:1128)
	at org.apache.solr.client.solrj.impl.BaseCloudSolrClient.requestWithRetryOnStaleState(BaseCloudSolrClient.java:897)
	at org.apache.solr.client.solrj.impl.BaseCloudSolrClient.request(BaseCloudSolrClient.java:829)
	at org.apache.solr.client.solrj.SolrRequest.process(SolrRequest.java:211)
	at org.apache.solr.client.solrj.SolrClient.query(SolrClient.java:1035)
	at no.vegvesen.nvdbapi.common.solr.SolrClientWrapperImpl.query(SolrClientWrapperImpl.java:61)
	... 74 common frames omitted
Caused by: org.apache.solr.client.solrj.impl.HttpSolrClient$RemoteSolrException: Error from server at http://svvpnvdbsolr08.vegvesen.no:8983/solr/nvdb-roadobjects: Error from server at null: Parent query must not match any docs besides parent filter. Combine them as must (+) and must-not (-) clauses to find a problem doc. docID=6234
	at org.apache.solr.client.solrj.impl.HttpSolrClient.executeMethod(HttpSolrClient.java:665)
	at org.apache.solr.client.solrj.impl.HttpSolrClient.request(HttpSolrClient.java:265)
	at org.apache.solr.client.solrj.impl.HttpSolrClient.request(HttpSolrClient.java:248)
	at org.apache.solr.client.solrj.impl.LBSolrClient.doRequest(LBSolrClient.java:368)
	at org.apache.solr.client.solrj.impl.LBSolrClient.request(LBSolrClient.java:319)
	... 80 common frames omitted
{quote}
Solr:
{quote}
2020-09-01T11:11:20.542+0000 ERROR (qtp124734309-36389) [c:nvdb-roadobjects s:shard1 r:core_node56 x:nvdb-roadobjects_shard1_replica_n55] o.a.s.s.HttpSolrCall null:java.lang.IllegalStateException: Parent query must not match any docs besides parent filter. Combine them as must (+) and must-not (-) clauses to find a problem doc. docID=748
	at org.apache.lucene.search.join.ToChildBlockJoinQuery$ToChildBlockJoinScorer.validateParentDoc(ToChildBlockJoinQuery.java:276)
	at org.apache.lucene.search.join.ToChildBlockJoinQuery$ToChildBlockJoinScorer.access$300(ToChildBlockJoinQuery.java:132)
	at org.apache.lucene.search.join.ToChildBlockJoinQuery$ToChildBlockJoinScorer$1.nextDoc(ToChildBlockJoinQuery.java:178)
	at org.apache.lucene.search.Weight$DefaultBulkScorer.scoreAll(Weight.java:265)
{quote}
",NVDB-6937,Les-API,
Takler ikke datakatalogoppdatering når IND er stoppet,"Dersom NVDB får en datakatalogoppdatering mens NVDBIND er stoppet vil NVDBIND stoppe med 
{quote}
2020-08-31 17:39:54 [taskexecutor] ERROR TaskExecutor - Task FullExport() failed 
no.vegvesen.nvdbind.OutdatedDatakatException: Exported datakatalog is out of date, exported version: 2.21 current version: 2.22
	at no.vegvesen.nvdbind.tasks.DatakatTask.checkCurrent(DatakatTask.java:61)
	at no.vegvesen.nvdbind.tasks.DatakatTask.run(DatakatTask.java:41)
	at no.vegvesen.nvdbind.tasks.TaskExecutor.execute(TaskExecutor.java:209)
	at no.vegvesen.nvdbind.tasks.TaskExecutor.execute(TaskExecutor.java:149)
	at no.vegvesen.nvdbind.tasks.DefaultTaskExecutionContext.execute(DefaultTaskExecutionContext.java:42)
	at no.vegvesen.nvdbind.tasks.FullExportTask.run(FullExportTask.java:36)
	at no.vegvesen.nvdbind.tasks.TaskExecutor.execute(TaskExecutor.java:201)
	at no.vegvesen.nvdbind.tasks.TaskExecutor.start(TaskExecutor.java:115)
	at no.vegvesen.nvdbind.NvdbindCore$TaskExecutorThread.run(NvdbindCore.java:503)
{quote}
ved oppstart.",NVDB-6937,NVDB-IND,
Systemfeil pga NPE i NoOverlapsValidator,"h2. Observasjon

Dette endringssettet får NPE og systemfeil:

[https://www.vegvesen.no/nvdb/apiskriv/kontrollpanel/#/jobs/view/9bd15214-1dcd-425b-852c-d5030654caa8]

Stacktrace:

{code:java}
java.lang.NullPointerException: from can't be null
	at java.util.Objects.requireNonNull(Objects.java:228)
	at no.vegvesen.vt.nvdb.apiskriv.domain.Lifetime.<init>(Lifetime.java:52)
	at no.vegvesen.vt.nvdb.apiskriv.domain.Lifetime.between(Lifetime.java:48)
	at no.vegvesen.vt.nvdb.apiskriv.domain.feature.Feature.getLifetime(Feature.java:294)
	at no.vegvesen.vt.nvdb.apiskriv.domain.feature.Feature.hasCommonLifetimeWith(Feature.java:312)
	at no.vegvesen.vt.nvdb.apiskriv.domain.validation.job.NoOverlapsValidator.shouldValidateOverlap(NoOverlapsValidator.java:100)
	at no.vegvesen.vt.nvdb.apiskriv.domain.validation.job.NoOverlapsValidator.isValid(NoOverlapsValidator.java:52)
	at no.vegvesen.vt.nvdb.apiskriv.domain.validation.job.NoOverlapsValidator.isValid(NoOverlapsValidator.java:30)
	at no.vegvesen.vt.nvdb.apiskriv.domain.validation.ConstraintEnforcer.enforce(ConstraintEnforcer.java:53)
	at no.vegvesen.vt.nvdb.apiskriv.validation.job.ConstraintJobFilter.doFilter(ConstraintJobFilter.java:28)
	at no.vegvesen.vt.nvdb.apiskriv.validation.JobProcessor.lambda$process$0(JobProcessor.java:117)
	at no.vegvesen.vt.nvdb.apiskriv.jdbc.Jdbc.readOnly(Jdbc.java:75)
	at no.vegvesen.vt.nvdb.apiskriv.validation.JobProcessor.process(JobProcessor.java:94)
	at no.vegvesen.vt.nvdb.apiskriv.validation.DefaultValidationService.validateBeforeLocking(DefaultValidationService.java:132)
	at no.vegvesen.vt.nvdb.apiskriv.jobmanager.JobWorker.validateBeforeLock(JobWorker.java:449)
	at no.vegvesen.vt.nvdb.apiskriv.jobmanager.JobWorker.lambda$submit$0(JobWorker.java:171)
	at no.vegvesen.vt.nvdb.apiskriv.logutils.MdcHelper.putAndRemoveJobIdMdc(MdcHelper.java:53)
	at no.vegvesen.vt.nvdb.apiskriv.jobmanager.JobWorker.submit(JobWorker.java:139)
	at no.vegvesen.vt.nvdb.apiskriv.jobmanager.JobListener.lambda$new$0(JobListener.java:23)
	at no.vegvesen.vt.nvdb.apiskriv.activemqclient.ActiveMqSubscription.onMessage(ActiveMqSubscription.java:188)
{code}

h2. Analyse

I endringssettet bestilles lukking vegobjekt type 301, id 82383926, versjon 1. I NVDB er imidlertid versjon 2 den siste versjonen: https://www.vegvesen.no/nvdb/apiskriv/rest/v3/les/vegobjekt/301/82383926. Dette avdekkes korrekt i filteret PrepareForDiscontinueEnricherFilter, og en valideringsfeil registreres. Videre behandling avbrytes imidlertid ikke med anrop til ValidationResult.abortProcessing(). Dermed fortsetter valideringen og i JobConstraint'en NoOverlapsValidator havarerer behandlingen fordi vegobjektet som lukkes mangler startdato. I endringssettet er kun sluttdato angitt ved lukking, men PrepareForDiscontinueEnricherFilter vil kopiere inn startdato fra originalen i NVDB. I og med at det ble avdekket valideringsfeil der, skjedde ikke det.

h2. Løsning

I PrepareForDiscontinueEnricherFilter anropes ValidationResult.abortProcessing() dersom det er versjonsfeil eller vegobjektversjonen allerede er lukket. Dermed vil behandling avsluttes korrekt med valideringsfeil i dette tilfellet.",NVDB-6937,Skriv-API,
Konvertering av geometri ved innsending fungerer ikke,"En live case fra support der et vegobjekt med geometri med srid 6173 / NN54, som Skriv ikke godtar, skulle ha blitt konvertert ved innsending, men det blir det ikke.

Skriv avviser med validerings-feilmelding om at geometritype er ugyldig.

Geometrien er lagret slik i databasen :


{code:java}
{
   ""type"":""POINT"",
   ""representationPoint"":null,
   ""shape"":{
      ""@class"":""no.svv.nvdb.datafangst.domainmodel.geometry.shapes.Point"",
      ""position"":{
         ""northing"":6964293.98026751,
         ""easting"":173496.768292179,
         ""height"":14.4938896217843
      }
   },
   ""srid"":6173,
   ""heightRef"":""NN54"",
   ""properties"":{
      ""map"":{
         ""MEASUREMENT_METHOD"":""97"",
         ""ACCURACY_HEIGHT"":""0""
      }
   },
   ""length"":0.0,
   ""operation"":""WRITE""
}
{code}
",NVDB-6937,Datafangst,
Fjern varsel om ny stedfesting,"på stedfesting vises et varsel om at du bruker ny stedfesting, og at man kan klikke her for å gå til gammel.

Fjern varselet, men behold feature toggle i admin.",NVDB-6937,Datafangst,
Mangler informasjon om barn under relasjoner,"h2. Observasjon

Ved å inkludere relasjoner så er det enkelte barn som ikke gir annen info enn kun id. Mangler href og relasjoner.

Eksempler:

[https://nvdbapiles-v3.utv.atlas.vegvesen.no/vegobjekter/67/78728421/3.json?dybde=3&inkluder=relasjoner]

(søk etter _78728481_)

[https://nvdbapiles-v3.utv.atlas.vegvesen.no/vegobjekter/67/78729244/9.json?dybde=3&inkluder=relasjoner]

(søk etter _78729865)_

Analyse:
Eksempel 1) Type 461 er ikke indeksert i UTV, sannsynligvis derfor objektinfo ikke kommer ut, det kommer i de andre miljøene
Eksempel 2) Objektet som kun har id er lukket, derfor blir det ikke hentet ut i solr-spørringen som bruker dato som del av spørreparamter.",NVDB-6937,Les-API,
Startdato blir ikke oppdatert for kontinuerlig sammenhengende segmenter i tid med ulik ID,"For søk som dette, der segmenter har fått oppdatert Locational-objektet gjennom tid, får vi ikke oppdatert datofeltet:

[https://nvdbapiles-v3.utv.atlas.vegvesen.no/beta/vegnett/rute?start=13538.741999999387,6696449.226&slutt=15041.6770000002,6696842.327999998&maks_avstand=10&omkrets=100&konnekteringslenker=true&detaljerte_lenker=true&pretty=true&tidspunkt_start=2011-03-20&tidspunkt_slutt=2011-03-26&kortform=false]

Søket treffer disse to segmentene:

!Screenshot from 2020-08-25 16-42-43.png|thumbnail!

Det må altså utføres en ekstra sjekk på start- og sluttnode for å avgjøre om to segmenter skal ""slås sammen"" i tid.

 ",NVDB-6937,Les-API,
Mødre og døtre fra NVDB må også kunne flyttes inn til mor,"h2. Observasjon

Vi har logikk fra gamle dager da NVDB-objekter kun ble brukt som referanse, som hindrer døtre fra nvdb til å flyttes inn til sin mor.

Nå i moderne dager kan vi importere objekter fra nvdb for endring, og de kan få ny stedfesting, og da må vi også tillate at vi flytter dem inn til sin mor.

I praksis betyr dette at hvis dataforvalter re-stedfester NVDB-objekter (både datter og mor) der de har miniskule forskjeller i geometrisk posisjon, ikke vil få godkjent endringssettet av SKRIV  fordi datter ikke er innenfor mor.

Per nå flytter vi bare døtre inn til mor ved sammenkobling, så denne saken bør også sees i sammenheng med NVDB-5822 (flytte datter også ved stedfesting)

 

 

 ",NVDB-6937,Datafangst,
Ikke segmentere historiske objekter for kontrakt/riksvegrute,"Oppfølging av saken NVDB-5674 etter antallet segmenter ikke ble som forventet.

*Løsning*
Etter ny gjennomgang ble det oppdaget at ikke alle historiske kontraktsområder og riksvegruter ble droppet ved segmentering. Dette er nå rettet og verifisert med integrasjonstest.",NVDB-6937,NVDB-IND,
Vegsystemreferanse på overgang E39 F710,"{quote}Har støtt på en edge case i overgang mellom vegsystemreferanser. Trafikkulykke 264593895 har koordinatene (240233, 7030667.4) og ligger på EV39 S4D1 m2347.
 /posisjon-oppslag gir 0.25636204@72837 - EV39 S4D1 m2347.
 /veg?veglenkesekvens=0.25636204@72837 gir FV710 S1D1 m0.
{quote}
[https://nvdbapiles-v3.utv.atlas.vegvesen.no/veg.json?veglenkesekvens=0.25636204@72837]
 [https://nvdbapiles-v3.utv.atlas.vegvesen.no/posisjon.json?ost=240233&nord=7030667.4&maks_antall=2]

/veg veksler mellom dem.

EV39 S4D1 m2347 slutter der, FV710 S1D1 m0 starter der.

 

*Test*

Sjekk trafikkulykker stedfestet i krysset her (mellom EV39 og FV710). De som er stedfestet på 0.25636204@72837 skal ha vegSysRef FV710 nå.

[https://vegkart.atlas.vegvesen.no/#kartlag:topo4/@240242,7030658,18/hva:~(~(id~570))/vegsystemreferanse:240231.371:7030664.807]

Bildet vedlagt viser objektene med vegSysRef EV39 slik det har vært. Det er vegSysRef fra slutten av lenka som stopper i 0.25636204@72837.

 ",NVDB-6937,NVDB-IND,
Ny stedfesting må prøve å flytte seg innenfor sin mor,"h2. Observasjon

I dag flyttes døtre innenfor sin mor bare når de blir sammenkoblet, men i de tilfellene der man lager en ny stedfesting etter at en sammenkobling er gjort, så flyttes ikke datter inn til mor, og brukeren får sannsynligvis en feilmelding fra Skriv. I tillegg gjør dagens løsning det nødvendig å lage en  ny sammenkobling til mor for å få flyttet datter inn, som lager unødvendige endingssett, og vil fremprovosere duplikat-assosiasjons-buggen. 
h2. Implementasjon

Ved stedfesting hentes forelder til objektet. vi gjør så et forsøk på å flytte objektet inn til forelder. Hvis det ikke går, bevares stedfestingen, men den blir markert som uncertain, og en beskrivende tilbakemelding sendes til brukeren.

Deretter hentes barn til objektet. barnene forsøkes å flyttes inn til mor. Hvis en eller flere av barnene ikke kan flyttes, bevares stedfestingen de hadde, men stedfestingen blir markert som uncertain og en forklarende tilbakemelding sendes til brukeren. 

Ved begge tilfellene forsøker vi aldri å flytte mor, men flytter alltid barnene, og vi begynner øverst i hierarkiet. så det er bestemor som styrer hvor barnebarna blir plassert.

Vi ser kun på den umiddelbare mor til objektet som skal stedfestes, og de umiddelbare barna. så kun 3 nivåer av hierarkiet forsøkes flyttet. Det bør likevel være tilstrekkelig for å kunne flytte et større hierarki ved å gjøre operasjonen i flere ledd, der man begynner høy og slutter lavt i hierarkiet.

Ved endt stedfesting, sendes oppdaterte vegobjekter til frontend. Stedfestingsfanen er endret for å kunne ta i mot flere objekter ved stedfesting (tidligere bare ett), og de oppdaterte stedfestingene vises umiddelbart når de mottas. 
h2. NB!

Denne oppgraderingen gjelder ikke automatisk stedfesting. Vi kan implementere det senere, men det er teknisk litt mer utfordrende, siden autostedfesting kjøres asynkront. Helt klart løselig, men siden Skriv skal ta over stedfesting og ta innflytting til mor automatisk gir det mer mening å avvente dette. Denne oppgaven skal først og fremst løse problemet med at manuell stedfesting ikke flyttet døtre, og krevde at brukeren måtte fjerne sammenkobling og lage en  ny sammenkobling for å få flyttet døtre.",NVDB-6937,Datafangst,
Ingen strekningsmeter for kryssdel i annen kommune enn kryssystem,"KV9999 K1000D1 kommune: 1103 veglenkesekvens:2343045

*Analyse*
 Ser ut til å skyldes datafeil. Vegsystemet for kommunal veg KV9999, med id 1002896754, har to ulike kommuner. 1103 og 1124. I vegkart ser det ut som rundkjøringa ligger i 2 kommuner. Hvis vegsystemet deles i 2 objekter, 1 for hver kommune skal meterberegningen gå bra.

Siden det er kommunal veg forventes det bare 1 kommune på vegsystemet, så det er bare den ene kommuenen som blir lagt til i cache. Ved uthenting for den andre kommunen under beregning av meterverdier er det ikke noe innslag i cachen, da blir meterverdi satt til -1.

Vegsystemet med 2 kommuner:
 [https://nvdbapiles-v3.atlas.vegvesen.no/vegobjekter/915/1002896754/1]
{quote}""lokasjon"": {
 ""kommuner"": [
 1103,
 1124
 ],
{quote}

https://vegkart.atlas.vegvesen.no/#kartlag:geodata/@-34965,6566738,16/hva:~(~(id~915)~(id~917))/hvor:~(vegsystemreferanse~(~'KV9999))

*Løsning*
Endret til å hente kommunenummer fra stedfestingen til kryssystemet/sideanlegget for meterberegning til punket der krysset/sideanlegget er stedfestet. Tidligere ble det brukt kommunenummer fra stedfesting til den delen det ble beregnet meterverdi på.
I tillegg er det gjort en  jobb i prod med å dele vegsystemet i 2 objekter, 1 objekt for hver kommune i krysset.",NVDB-6937,NVDB-IND,
Bedre UI for stedfestinger i kartet,"h2. Observasjon

Når man har flere objekter tett på hverandre, og man skal prøve å finne ut hvilken av de som har feil stedfesting, så kan det være vanskelig, fordi det er vanskelig å se hvilken stedfesting som tilhører hvilke objekter.

- stedfesting bør markeres sammen med objektet som er valgt
- stedfestinger bør bli klikkbare, slik at man kan klikke på en stedfesting som er feil og få markert det objektet den tilhørert

!image-2020-08-25-08-29-57-760.png!",NVDB-6937,Datafangst,
Leveranseinformasjon NVDBIND V3 2020.12.2,"Kan testes ved å kjøre en transaksjon, stoppe NVDBIND og sjekke at «Cloud - Tree - nvdb - transaction» har innhold «sync» og «latest» under seg.",NVDB-6937,NVDB-IND,
«sist_prosesserte_transaksjon» er feil ved reindeksering,"Sinus Infra frå Triona må ha verdi «sist_prosesserte_transaksjon» for å fungere. Under reindeksering 22/8-20 feila den, og Sinus Infra var utilgjengeleg for brukarane til indeksering var ferdig mandag ettermiddag/kveld.

Triona ber om endring og viser til tidlegare melding:

Ja, nå er «sist_prosesserte_transaksjon» satt og SINUS infra virker Ok igjen 😊.

 

Sist dette skjedde fikk vi inntrykk av at det er unødvendig for NVDB å ta vekk dette tidspunktet ifb. med reindeksering og at man skulle la tidspunktet stå. Jeg vet ikke om man etterpå har tenkt annerledes eller om man bare glemte å justere det.

 

Om ikke NVDB løser det må SINUS løse det, men da ønsker vi synspunkter på hvilket tidspunkt vi skal sette. Hva er rett? Er det tidspunktet for når vi leser ned dataene vi skal bruke?

 ",NVDB-6937,Les-API,
